2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,-0.2720263441,-2.5287702912,-6.9440419476
0.02,-0.2744301115,-2.5331051008,-6.9165494703
0.03,-0.2652156698,-2.5425628672,-6.9002133606
0.04,-0.2560012281,-2.5468976768,-6.8942367351
0.05,-0.2447836469,-2.5461095296,-6.8982211521
0.06,-0.2299604146,-2.5461095296,-6.9030024525
0.07,-0.2219478566,-2.5453213824,-6.8914476432
0.08,-0.2259541356,-2.5453213824,-6.8587754238
0.09,-0.2359698331,-2.55162656,-6.8165406036
0.10,-0.252395577,-2.5610843264,-6.7870559178
0.11,-0.2696225767,-2.569359872,-6.7731104583
0.12,-0.2784363905,-2.5764531968,-6.7619540907
0.13,-0.2772345068,-2.5780294912,-6.7611572073
0.14,-0.2808401579,-2.5717243136,-6.7663369494
0.15,-0.2928589949,-2.5650250624,-6.7735089
0.16,-0.3092847388,-2.559508032,-6.7886496846
0.17,-0.3088841109,-2.5520206336,-6.8336735967
0.18,-0.2908558554,-2.54177472,-6.9053931027
0.19,-0.2792376463,-2.5264058496,-6.9667531245
0.20,-0.2816414137,-2.5110369792,-6.9942456018
0.21,-0.2788370184,-2.4960621824,-6.9934487184
0.22,-0.2720263441,-2.4850281216,-6.9759172836
0.23,-0.2696225767,-2.4810873856,-6.952807665
0.24,-0.264414414,-2.484634048,-6.9436435059
0.25,-0.2479886701,-2.496456256,-6.9484248063
0.26,-0.2355692052,-2.5090666112,-6.9464325978
0.27,-0.2311622983,-2.5283762176,-6.9241198626
0.28,-0.2315629262,-2.5508384128,-6.8898538764
0.29,-0.2359698331,-2.5622665472,-6.8524003566
0.30,-0.2415786237,-2.5658132096,-6.8217203457
0.31,-0.2467867864,-2.5610843264,-6.8061811194
0.32,-0.2507930654,-2.5484739712,-6.8129546283
0.33,-0.2499918096,-2.5291643648,-6.8269000878
0.34,-0.2427805074,-2.5114310528,-6.8384548971
0.35,-0.2383736005,-2.5047318016,-6.8563847736
0.36,-0.2375723447,-2.5027614336,-6.8775021837
0.37,-0.2311622983,-2.498426624,-6.8858694594
0.38,-0.2211466008,-2.496456256,-6.8886585513
0.39,-0.216339066,-2.5015792128,-6.9097759614
0.40,-0.2199447171,-2.5145836416,-6.9348777885
0.41,-0.2251528798,-2.529952512,-6.9332840217
0.42,-0.2391748563,-2.5394102784,-6.916947912
0.43,-0.2551999723,-2.5488680448,-6.8918460849
0.44,-0.2768338789,-2.5602961792,-6.8631582825
0.45,-0.2996696692,-2.5689657984,-6.8368611303
0.46,-0.3036759482,-2.5721183872,-6.8161421619
0.47,-0.2952627623,-2.5669954304,-6.8057826777
0.48,-0.2996696692,-2.5543850752,-6.8057826777
0.49,-0.3168966689,-2.5461095296,-6.805384236
0.50,-0.3297167617,-2.5468976768,-6.7946263101
0.51,-0.332521157,-2.5610843264,-6.7790870838
0.52,-0.336527436,-2.5863050368,-6.7818761757
0.53,-0.3393318313,-2.608767232,-6.7970169603
0.54,-0.328514878,-2.608767232,-6.8037904692
0.55,-0.3112878783,-2.5981272448,-6.801399819
0.56,-0.2988684134,-2.5937924352,-6.7950247518
0.57,-0.2932596228,-2.593004288,-6.7858605927
0.58,-0.2900545996,-2.5933983616,-6.7715166915
0.59,-0.2820420416,-2.5918220672,-6.757571232
0.60,-0.2708244604,-2.5807880064,-6.761555649
0.61,-0.2531968328,-2.563448768,-6.7798839672
0.62,-0.2287585309,-2.5524147072,-6.8021967024
0.63,-0.2103296475,-2.549656192,-6.81335307
0.64,-0.2131340428,-2.553596928,-6.809368653
0.65,-0.2275566472,-2.5599021056,-6.7942278684
0.66,-0.2267553914,-2.5602961792,-6.7782902004
0.67,-0.2175409497,-2.557537664,-6.7818761757
0.68,-0.2179415776,-2.5520206336,-6.8045873526
0.69,-0.2219478566,-2.5429569408,-6.8269000878
0.70,-0.2259541356,-2.5346813952,-6.8312829465
