2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,-0.272026344,-2.528770291,-6.944041948
0.02,-0.274430112,-2.533105101,-6.91654947
0.03,-0.26521567,-2.542562867,-6.900213361
0.04,-0.256001228,-2.546897677,-6.894236735
0.05,-0.244783647,-2.54610953,-6.898221152
0.06,-0.229960415,-2.54610953,-6.903002453
0.07,-0.221947857,-2.545321382,-6.891447643
0.08,-0.225954136,-2.545321382,-6.858775424
0.09,-0.235969833,-2.55162656,-6.816540604
0.1,-0.252395577,-2.561084326,-6.787055918
0.11,-0.269622577,-2.569359872,-6.773110458
0.12,-0.278436391,-2.576453197,-6.761954091
0.13,-0.277234507,-2.578029491,-6.761157207
0.14,-0.280840158,-2.571724314,-6.766336949
0.15,-0.292858995,-2.565025062,-6.7735089
0.16,-0.309284739,-2.559508032,-6.788649685
0.17,-0.308884111,-2.552020634,-6.833673597
0.18,-0.290855855,-2.54177472,-6.905393103
0.19,-0.279237646,-2.52640585,-6.966753125
0.2,-0.281641414,-2.511036979,-6.994245602
0.21,-0.278837018,-2.496062182,-6.993448718
0.22,-0.272026344,-2.485028122,-6.975917284
0.23,-0.269622577,-2.481087386,-6.952807665
0.24,-0.264414414,-2.484634048,-6.943643506
0.25,-0.24798867,-2.496456256,-6.948424806
0.26,-0.235569205,-2.509066611,-6.946432598
0.27,-0.231162298,-2.528376218,-6.924119863
0.28,-0.231562926,-2.550838413,-6.889853876
0.29,-0.235969833,-2.562266547,-6.852400357
0.3,-0.241578624,-2.56581321,-6.821720346
0.31,-0.246786786,-2.561084326,-6.806181119
0.32,-0.250793065,-2.548473971,-6.812954628
0.33,-0.24999181,-2.529164365,-6.826900088
0.34,-0.242780507,-2.511431053,-6.838454897
0.35,-0.238373601,-2.504731802,-6.856384774
0.36,-0.237572345,-2.502761434,-6.877502184
0.37,-0.231162298,-2.498426624,-6.885869459
0.38,-0.221146601,-2.496456256,-6.888658551
0.39,-0.216339066,-2.501579213,-6.909775961
0.4,-0.219944717,-2.514583642,-6.934877789
0.41,-0.22515288,-2.529952512,-6.933284022
0.42,-0.239174856,-2.539410278,-6.916947912
0.43,-0.255199972,-2.548868045,-6.891846085
0.44,-0.276833879,-2.560296179,-6.863158283
0.45,-0.299669669,-2.568965798,-6.83686113
0.46,-0.303675948,-2.572118387,-6.816142162
0.47,-0.295262762,-2.56699543,-6.805782678
0.48,-0.299669669,-2.554385075,-6.805782678
0.49,-0.316896669,-2.54610953,-6.805384236
0.5,-0.329716762,-2.546897677,-6.79462631
0.51,-0.332521157,-2.561084326,-6.779087084
0.52,-0.336527436,-2.586305037,-6.781876176
0.53,-0.339331831,-2.608767232,-6.79701696
0.54,-0.328514878,-2.608767232,-6.803790469
0.55,-0.311287878,-2.598127245,-6.801399819
0.56,-0.298868413,-2.593792435,-6.795024752
0.57,-0.293259623,-2.593004288,-6.785860593
0.58,-0.2900546,-2.593398362,-6.771516692
0.59,-0.282042042,-2.591822067,-6.757571232
0.6,-0.27082446,-2.580788006,-6.761555649
0.61,-0.253196833,-2.563448768,-6.779883967
0.62,-0.228758531,-2.552414707,-6.802196702
0.63,-0.210329648,-2.549656192,-6.81335307
0.64,-0.213134043,-2.553596928,-6.809368653
0.65,-0.227556647,-2.559902106,-6.794227868
0.66,-0.226755391,-2.560296179,-6.7782902
0.67,-0.21754095,-2.557537664,-6.781876176
0.68,-0.217941578,-2.552020634,-6.804587353
0.69,-0.221947857,-2.542956941,-6.826900088
0.7,-0.225954136,-2.534681395,-6.831282947
0.71,-0.221547229,-2.529164365,-6.820126579
0.72,-0.225553508,-2.528770291,-6.811360862
0.73,-0.24037674,-2.538228058,-6.802196702
0.74,-0.251594321,-2.546503603,-6.786259034
0.75,-0.258404996,-2.546503603,-6.775501109
0.76,-0.274430112,-2.546503603,-6.777094875
0.77,-0.298868413,-2.545715456,-6.778688642
0.78,-0.313691646,-2.54610953,-6.772313575
0.79,-0.322104832,-2.550838413,-6.757571232
0.8,-0.327312994,-2.554385075,-6.754383698
0.81,-0.318899808,-2.551232486,-6.774305783
0.82,-0.298067158,-2.544139162,-6.810563978
0.83,-0.276433251,-2.539410278,-6.859173866
0.84,-0.256802484,-2.532316954,-6.904994661
0.85,-0.246386159,-2.525223629,-6.925713629
0.86,-0.245584903,-2.525223629,-6.921729212
0.87,-0.24798867,-2.53192288,-6.915354145
0.88,-0.251594321,-2.545321382,-6.919338562
0.89,-0.244383019,-2.557537664,-6.932088697
0.9,-0.235569205,-2.566207283,-6.952010782
0.91,-0.233165438,-2.573694682,-6.967550008
0.92,-0.243181135,-2.575270976,-6.9751204
0.93,-0.25760374,-2.574088755,-6.975518842
0.94,-0.264815042,-2.572906534,-6.976315725
0.95,-0.261610019,-2.566207283,-6.977112609
0.96,-0.259206251,-2.555173222,-6.978307934
0.97,-0.265616298,-2.555173222,-6.984284559
0.98,-0.276433251,-2.568571725,-6.979503259
0.99,-0.286048321,-2.582364301,-6.960776499
1,-0.288852716,-2.588275405,-6.936073114
1.01,-0.293259623,-2.589457626,-6.903002453
1.02,-0.290855855,-2.589063552,-6.869931791
1.03,-0.277635135,-2.582364301,-6.843236198
1.04,-0.261610019,-2.57133024,-6.830087621
1.05,-0.247187414,-2.562266547,-6.828892296
1.06,-0.238373601,-2.549656192,-6.830884505
1.07,-0.237171717,-2.538228058,-6.828095413
1.08,-0.234767949,-2.540198426,-6.812954628
1.09,-0.222749112,-2.553202854,-6.79223566
1.1,-0.208326508,-2.567389504,-6.783868384
1.11,-0.196307671,-2.578817638,-6.787055918
1.12,-0.189496997,-2.584728742,-6.790243451
1.13,-0.180683183,-2.58118208,-6.806181119
1.14,-0.178680043,-2.57133024,-6.825306321
1.15,-0.188695741,-2.565419136,-6.83447048
1.16,-0.203919601,-2.565025062,-6.839251781
1.17,-0.212733415,-2.562660621,-6.851603473
1.18,-0.217941578,-2.55714359,-6.868338025
1.19,-0.223950996,-2.552808781,-6.878697509
1.2,-0.228357903,-2.549656192,-6.884275693
1.21,-0.228357903,-2.552808781,-6.881088159
1.22,-0.237972973,-2.559902106,-6.869134908
1.23,-0.256802484,-2.564236915,-6.850009706
1.24,-0.279638274,-2.568965798,-6.820923462
1.25,-0.302874692,-2.572118387,-6.800602936
1.26,-0.32250546,-2.573300608,-6.798610727
1.27,-0.328514878,-2.573694682,-6.795821635
1.28,-0.324909227,-2.568571725,-6.789048126
1.29,-0.318098553,-2.558325811,-6.786657476
1.3,-0.310486623,-2.54729175,-6.781079292
1.31,-0.308884111,-2.54177472,-6.772313575
1.32,-0.311287878,-2.53743991,-6.760360324
1.33,-0.307682227,-2.534681395,-6.755977465
1.34,-0.301672809,-2.53743991,-6.774305783
1.35,-0.302474065,-2.548868045,-6.806579561
1.36,-0.300871553,-2.557931738,-6.840048664
1.37,-0.293660251,-2.558325811,-6.875509975
1.38,-0.278837018,-2.554385075,-6.910572845
1.39,-0.266016926,-2.55162656,-6.943245064
1.4,-0.256802484,-2.545715456,-6.96794845
1.41,-0.244383019,-2.535075469,-6.971932867
1.42,-0.244383019,-2.524829555,-6.947627923
1.43,-0.252395577,-2.520100672,-6.904197778
1.44,-0.258805623,-2.527982144,-6.843634639
1.45,-0.264815042,-2.545321382,-6.771915133
1.46,-0.2728276,-2.570936166,-6.718922387
1.47,-0.274830739,-2.594974656,-6.703781603
1.48,-0.265616298,-2.606008717,-6.739242914
1.49,-0.256001228,-2.601673907,-6.812157745
1.5,-0.253196833,-2.583940595,-6.875908417
1.51,-0.255199972,-2.559902106,-6.910174403
1.52,-0.258404996,-2.537833984,-6.90698687
1.53,-0.272026344,-2.525223629,-6.873916208
1.54,-0.29566339,-2.521676966,-6.837259572
1.55,-0.307682227,-2.524041408,-6.812556187
1.56,-0.31289039,-2.524041408,-6.798610727
1.57,-0.321704204,-2.511431053,-6.784266826
1.58,-0.334123669,-2.49251552,-6.777891759
1.59,-0.34333811,-2.476752576,-6.783071501
1.6,-0.348546273,-2.464930368,-6.786657476
1.61,-0.342937482,-2.461777779,-6.781876176
1.62,-0.326111111,-2.471235546,-6.765540066
1.63,-0.299669669,-2.485816269,-6.747211748
1.64,-0.274830739,-2.501973286,-6.750399281
1.65,-0.24798867,-2.519706598,-6.785462151
1.66,-0.223550368,-2.532316954,-6.839251781
1.67,-0.207525252,-2.535469542,-6.881885042
1.68,-0.200714578,-2.533499174,-6.898619594
1.69,-0.209127764,-2.527193997,-6.901807127
1.7,-0.216739694,-2.522465114,-6.906588428
1.71,-0.20792588,-2.526011776,-6.918541679
1.72,-0.195907043,-2.532711027,-6.927307396
1.73,-0.197910183,-2.542562867,-6.929299605
1.74,-0.207124624,-2.556749517,-6.928901163
1.75,-0.218742833,-2.57133024,-6.912166612
1.76,-0.229960415,-2.58118208,-6.882283484
1.77,-0.237572345,-2.584334669,-6.85319724
1.78,-0.253998089,-2.58669911,-6.828095413
1.79,-0.271225088,-2.59103392,-6.805782678
1.8,-0.267619437,-2.591427994,-6.79223566
1.81,-0.248389298,-2.59103392,-6.805782678
1.82,-0.236370461,-2.59536873,-6.834072038
1.83,-0.231162298,-2.600097613,-6.856783215
1.84,-0.23076167,-2.606796864,-6.874713092
1.85,-0.225954136,-2.612313894,-6.893838293
1.86,-0.217140322,-2.608767232,-6.912565053
1.87,-0.216339066,-2.598127245,-6.922127654
1.88,-0.22314974,-2.585910963,-6.916151029
1.89,-0.228357903,-2.57566505,-6.892642968
1.9,-0.227156019,-2.569753946,-6.859572307
1.91,-0.228758531,-2.568965798,-6.826103204
1.92,-0.23276481,-2.574482829,-6.797415402
1.93,-0.234367322,-2.582758374,-6.781876176
1.94,-0.239174856,-2.592216141,-6.775501109
1.95,-0.246386159,-2.600097613,-6.768329158
1.96,-0.2556006,-2.604826496,-6.769524483
1.97,-0.268420693,-2.601673907,-6.775501109
1.98,-0.278035763,-2.590639846,-6.784266826
1.99,-0.279237646,-2.57684727,-6.799009169
2,-0.279237646,-2.558719885,-6.812157745
2.01,-0.279638274,-2.544533235,-6.823314113
2.02,-0.28043953,-2.542562867,-6.837658014
2.03,-0.276032623,-2.543745088,-6.855986332
2.04,-0.266818181,-2.53743991,-6.875509975
2.05,-0.264815042,-2.522859187,-6.893838293
2.06,-0.265616298,-2.510248832,-6.913361937
2.07,-0.262010647,-2.495668109,-6.926510513
2.08,-0.254398717,-2.47714665,-6.942049739
2.09,-0.249591182,-2.463354074,-6.94683104
2.1,-0.247187414,-2.45862519,-6.944838831
2.11,-0.241979252,-2.467688883,-6.953206107
2.12,-0.237972973,-2.483451827,-6.966753125
2.13,-0.239976112,-2.490939226,-6.979104817
2.14,-0.247588042,-2.494485888,-6.983487676
2.15,-0.254799344,-2.507490317,-6.966753125
2.16,-0.266417554,-2.533499174,-6.926908955
2.17,-0.282042042,-2.55714359,-6.867541141
