2011.02.08 15:21:50,,,
MIHARU,,,
T1,,,
,N102W,N12W,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,-135,-9,31
0.02,-147,-8,42
0.03,-138,-9,47
0.04,-126,-15,45
0.05,-117,-10,46
0.06,-108,-1,51
0.07,-120,-2,51
0.08,-128,-4,35
0.09,-129,-2,28
0.10,-134,-7,39
0.11,-129,-16,53
0.12,-120,-17,54
0.13,-115,-12,41
0.14,-119,-9,34
0.15,-130,-12,33
0.16,-137,-15,41
0.17,-137,-10,56
0.18,-133,-6,51
0.19,-123,-5,35
0.20,-127,-7,31
0.21,-131,-12,35
0.22,-120,-12,46
0.23,-118,-2,55
0.24,-129,2,45
0.25,-131,-4,36
0.26,-126,-9,38
0.27,-125,-1,36
0.28,-131,-1,32
0.29,-128,-5,37
0.30,-121,-1,42
0.31,-125,-6,43
0.32,-131,-14,44
0.33,-134,-14,47
0.34,-131,-16,51
0.35,-126,-11,59
0.36,-130,-5,59
0.37,-128,-9,49
0.38,-125,-8,49
0.39,-134,-10,42
0.40,-134,-19,33
0.41,-126,-24,34
0.42,-128,-24,43
0.43,-128,-12,50
0.44,-123,-4,56
0.45,-119,-4,62
0.46,-126,-2,52
0.47,-133,-4,36
0.48,-130,-10,34
0.49,-124,-13,38
0.50,-123,-13,42
0.51,-132,-9,42
0.52,-140,-4,40
0.53,-131,-9,44
0.54,-121,-20,42
0.55,-132,-19,43
0.56,-135,-5,50
0.57,-123,-1,56
0.58,-130,-10,55
0.59,-151,-11,55
0.60,-140,-3,60
0.61,-114,-7,46
0.62,-117,-8,36
0.63,-133,1,44
0.64,-135,-8,54
0.65,-128,-17,44
0.66,-126,-8,40
0.67,-131,-8,48
0.68,-129,-16,57
0.69,-125,-16,61
0.70,-127,-11,46
0.71,-129,-13,34
0.72,-127,-8,37
0.73,-129,-4,38
0.74,-137,-11,44
0.75,-128,-8,55
0.76,-117,-2,48
0.77,-129,-12,31
0.78,-139,-17,29
0.79,-133,-14,43
0.80,-133,-9,53
0.81,-136,-8,60
0.82,-125,-11,56
0.83,-125,-14,49
0.84,-142,-14,49
0.85,-141,-9,51
0.86,-124,-4,41
0.87,-123,-11,34
0.88,-138,-16,39
0.89,-141,-11,47
0.90,-137,-9,49
0.91,-138,-16,43
0.92,-132,-15,45
0.93,-130,-5,52
0.94,-131,-6,56
0.95,-130,-14,51
0.96,-127,-10,39
0.97,-127,-9,24
0.98,-129,-11,30
0.99,-127,-9,40
1.00,-127,-6,41
1.01,-136,-1,49
1.02,-137,-8,51
1.03,-132,-20,39
1.04,-126,-20,43
1.05,-128,-11,50
1.06,-134,-5,39
1.07,-135,-9,31
1.08,-131,-5,37
1.09,-123,1,53
1.10,-120,-4,63
1.11,-129,-15,56
1.12,-133,-13,47
1.13,-123,-11,47
1.14,-118,-12,51
1.15,-125,-9,55
1.16,-130,-11,48
1.17,-132,-10,44
1.18,-135,-3,56
1.19,-130,0,56
1.20,-129,-8,40
1.21,-134,-16,38
1.22,-136,-8,48
1.23,-131,-4,52
1.24,-127,-10,50
1.25,-133,-15,55
1.26,-134,-11,57
1.27,-132,-5,48
1.28,-126,-3,50
1.29,-121,5,52
1.30,-129,-1,43
1.31,-131,-6,34
1.32,-121,-2,40
1.33,-120,-2,53
1.34,-130,-6,55
1.35,-129,-5,47
