2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,1.2259522444,-1.207638176,-6.8264962567
0.02,1.2327453305,-1.2104189218,-6.8241236113
0.03,1.2447331295,-1.203665682,-6.8158193524
0.04,1.2639136079,-1.1905564518,-6.8150284706
0.05,1.282694493,-1.1822142144,-6.8276825794
0.06,1.3002765982,-1.1845977108,-6.8340096338
0.07,1.3050717178,-1.1945289458,-6.8205646432
0.08,1.2990778183,-1.201679435,-6.7960473074
0.09,1.2962806652,-1.2028711832,-6.7565032174
0.10,1.3046721245,-1.203665682,-6.706677664
0.11,1.3090676508,-1.2064464278,-6.6730651875
0.12,1.3014753781,-1.21161067,-6.6639700468
0.13,1.2882887992,-1.2128024182,-6.6588293151
0.14,1.2719054739,-1.2084326748,-6.6489432926
0.15,1.2503274357,-1.2004876868,-6.6445934427
0.16,1.2379400434,-1.1905564518,-6.6560612288
0.17,1.2415363831,-1.1810224662,-6.6797876828
0.18,1.2511266223,-1.1762554734,-6.7110275139
0.19,1.2539237754,-1.1762554734,-6.7438491086
0.20,1.2503274357,-1.177844471,-6.765993799
0.21,1.2483294692,-1.1790362192,-6.7794387896
0.22,1.2563213352,-1.1766527228,-6.7913020166
0.23,1.2715058806,-1.1675159866,-6.7952564256
0.24,1.2818953064,-1.1496397636,-6.8075150935
0.25,1.2886883925,-1.1436810226,-6.8462683017
0.26,1.2978790384,-1.159968248,-6.8826488645
0.27,1.3030737513,-1.1814197156,-6.896489296
0.28,1.3014753781,-1.1909537012,-6.8929303279
0.29,1.3014753781,-1.1889674542,-6.8668312285
0.30,1.3082684642,-1.1834059626,-6.8158193524
0.31,1.3070696843,-1.1774472216,-6.7608530673
0.32,1.2978790384,-1.1671187372,-6.718540891
0.33,1.2898871724,-1.159968248,-6.6991642869
0.34,1.2834936796,-1.1595709986,-6.6983734051
0.35,1.2838932729,-1.1512287612,-6.694814437
0.36,1.2934835121,-1.1389140298,-6.6952098779
0.37,1.3010757848,-1.1289827948,-6.7082594276
0.38,1.3142623637,-1.1258047996,-6.7197272137
0.39,1.3314448756,-1.1357360346,-6.7371266133
0.40,1.3398363349,-1.1548040058,-6.7628302718
0.41,1.3378383684,-1.1706939818,-6.7853704031
0.42,1.3294469091,-1.1881729554,-6.7920928984
0.43,1.3110656173,-1.2060491784,-6.7845795213
0.44,1.2874896126,-1.2179666604,-6.7770661442
0.45,1.2635140146,-1.223528152,-6.7683664444
0.46,1.2523254022,-1.2223364038,-6.7509670448
0.47,1.2571205218,-1.213596917,-6.7418719041
0.48,1.2595180816,-1.2048574302,-6.7434536677
0.49,1.2431347563,-1.2024739338,-6.7394992587
0.50,1.2295485841,-1.2080354254,-6.7122138366
0.51,1.2355424836,-1.2151859146,-6.6718788648
0.52,1.2415363831,-1.2187611592,-6.64340712
0.53,1.2403376032,-1.2203501568,-6.6232396341
0.54,1.2435343496,-1.2199529074,-6.6149353752
