2022.05.23 11:02:00,,,
GOSHO,,,
G1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,-1.517757024,-2.242754019,-7.1069182277
0.02,-1.523329696,-2.23875624,-7.1124732975
0.03,-1.535669184,-2.2331593494,-7.1227898557
0.04,-1.539251616,-2.2323597936,-7.1180283673
0.05,-1.514970688,-2.2523486886,-7.1172347859
0.06,-1.490291712,-2.262742914,-7.1132668789
0.07,-1.491087808,-2.2615435803,-7.0942209253
0.08,-1.485117088,-2.2651415814,-7.0533514832
0.09,-1.46680688,-2.274736251,-7.0116884597
0.10,-1.470389312,-2.2775346963,-6.9799452037
0.11,-1.493078048,-2.2855302543,-6.9529634361
0.12,-1.513378496,-2.3039200377,-6.923997715
0.13,-1.54641648,-2.3059189272,-6.8878897613
0.14,-1.595774432,-2.3091171504,-6.880350738
0.15,-1.623239744,-2.3083175946,-6.8993966916
0.16,-1.633588992,-2.2935258123,-6.9192362266
0.17,-1.637569472,-2.2791338079,-6.9720093897
0.18,-1.626822176,-2.2687395825,-7.0410509715
0.19,-1.603735392,-2.2631426919,-7.1009663672
0.20,-1.582638848,-2.2635424698,-7.1390582744
0.21,-1.559552064,-2.2767351405,-7.150168414
0.22,-1.530096512,-2.2855302543,-7.1315192511
0.23,-1.514174592,-2.2799333637,-7.1057278556
0.24,-1.5125824,-2.2767351405,-7.1124732975
0.25,-1.513378496,-2.2615435803,-7.1350903674
0.26,-1.508999968,-2.2419544632,-7.1477876698
0.27,-1.493874144,-2.2295613483,-7.1418358093
0.28,-1.489495616,-2.2223653461,-7.1188219487
0.29,-1.501835104,-2.2327595715,-7.0831107857
0.30,-1.507407776,-2.2475513538,-7.0585097623
0.31,-1.503427296,-2.2555469118,-7.0485899948
0.32,-1.510194112,-2.2491504654,-7.0497803669
0.33,-1.507407776,-2.2331593494,-7.0620808786
0.34,-1.501039008,-2.2223653461,-7.0545418553
0.35,-1.513378496,-2.226762903,-7.0347023203
0.36,-1.53049456,-2.2471515759,-7.0255761342
0.37,-1.538057472,-2.2659411372,-7.0172435295
0.38,-1.536863328,-2.2803331416,-6.9978007852
0.39,-1.524921888,-2.3007218145,-6.9946264596
0.40,-1.518155072,-2.3103164841,-7.0144659946
0.41,-1.532086752,-2.3139144852,-7.027163297
0.42,-1.537261376,-2.3263076001,-7.0116884597
0.43,-1.524921888,-2.3406996045,-6.991452134
0.44,-1.543232096,-2.3219100432,-6.9910553433
0.45,-1.585425184,-2.3019211482,-7.0065301806
0.46,-1.601347104,-2.294725146,-7.019227483
0.47,-1.594978336,-2.2819322532,-7.0255761342
0.48,-1.59418224,-2.2635424698,-7.0493835762
0.49,-1.606919776,-2.2523486886,-7.0600969251
0.50,-1.621249504,-2.2679400267,-7.027163297
0.51,-1.61607488,-2.2923264786,-6.98351632
0.52,-1.616870976,-2.3087173725,-6.9608992501
0.53,-1.627618272,-2.3079178167,-6.9577249245
0.54,-1.617667072,-2.3135147073,-6.9565345524
0.55,-1.594580288,-2.3279067117,-6.9307431569
0.56,-1.593784192,-2.3215102653,-6.9093164591
0.57,-1.59617248,-2.3019211482,-6.900190273
0.58,-1.58025056,-2.2927262565,-6.880350738
0.59,-1.563134496,-2.2939255902,-6.8636855286
0.60,-1.55636768,-2.2855302543,-6.8708277612
0.61,-1.535271136,-2.2759355847,-6.9029678079
0.62,-1.505815584,-2.2763353626,-6.9247912964
0.63,-1.477952224,-2.2951249239,-6.9263784592
0.64,-1.450486912,-2.3023209261,-6.9418532965
0.65,-1.437749376,-2.2859300322,-6.9692318548
0.66,-1.433370848,-2.2675402488,-6.9839131107
0.67,-1.418643072,-2.2535480223,-6.9870874363
0.68,-1.415856736,-2.2471515759,-6.9926425061
0.69,-1.432574752,-2.2399555737,-7.0029590643
0.70,-1.448496672,-2.2439533527,-7.0061333899
0.71,-1.460438112,-2.2487506875,-6.9962136224
0.72,-1.48471904,-2.2495502433,-6.9882778084
0.73,-1.5225336,-2.2535480223,-6.9712158083
0.74,-1.558755968,-2.2719378057,-6.9414565058
0.75,-1.58622128,-2.2919267007,-6.9378853895
0.76,-1.615278784,-2.2839311427,-6.9458212035
0.77,-1.6319968,-2.2687395825,-6.9533602268
0.78,-1.62005536,-2.2695391383,-6.9593120873
0.79,-1.611298304,-2.2823320311,-6.951773064
0.80,-1.621647552,-2.2891282554,-6.959708878
0.81,-1.615676832,-2.2919267007,-6.9811355758
0.82,-1.591793952,-2.2967240355,-6.9970072038
0.83,-1.57427984,-2.3051193714,-7.0200210644
0.84,-1.565522784,-2.306718483,-7.0616840879
0.85,-1.549202816,-2.3007218145,-7.094617716
0.86,-1.5324848,-2.3059189272,-7.0981888323
0.87,-1.521737504,-2.3223098211,-7.1005695765
0.88,-1.523727744,-2.3283064896,-7.1136636696
0.89,-1.539251616,-2.3243087106,-7.1239802278
0.90,-1.542037952,-2.334702936,-7.1331064139
0.91,-1.531290656,-2.3319044907,-7.1525491582
0.92,-1.529300416,-2.3215102653,-7.1803245072
0.93,-1.534873088,-2.3183120421,-7.1914346468
0.94,-1.53049456,-2.3263076001,-7.1827052514
0.95,-1.523727744,-2.3235091548,-7.1755630188
0.96,-1.5225336,-2.3047195935,-7.1775469723
0.97,-1.514970688,-2.2855302543,-7.1743726467
0.98,-1.514970688,-2.2695391383,-7.1592946001
0.99,-1.52452384,-2.2807329195,-7.1283449255
1.00,-1.525717984,-2.298722925,-7.1021567393
1.01,-1.516164832,-2.3223098211,-7.0688263205
