2022.05.23 11:02:00,,,
GOSHO,,,
T1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
0.01,-2.2221444008,-2.4514550797,-8.129135952
0.02,-2.2169913724,-2.4799557685,-8.0944060605
0.03,-2.2106491836,-2.4989562277,-8.076065556
0.04,-2.2094600232,-2.5001437564,-8.072943768
0.05,-2.207874476,-2.4930185842,-8.078406897
0.06,-2.19994674,-2.4843100404,-8.084650473
0.07,-2.1785418528,-2.485893412,-8.0764557795
0.08,-2.1654610884,-2.4965811703,-8.040945441
0.09,-2.1813165604,-2.4965811703,-7.9984110795
0.10,-2.2122347308,-2.4870809407,-7.9625105175
0.11,-2.2261082688,-2.4942061129,-7.941828672
0.12,-2.2348287784,-2.5163733153,-7.931682861
0.13,-2.2490987032,-2.5278527594,-7.9289512965
0.14,-2.2649541752,-2.5227068017,-7.940267778
0.15,-2.2724855244,-2.5132065721,-7.9461211305
0.16,-2.2701072036,-2.4985603848,-7.9617300705
0.17,-2.2629722412,-2.4839141975,-8.012068902
0.18,-2.2490987032,-2.4633303667,-8.0897233785
0.19,-2.235621552,-2.4395797927,-8.165816961
0.20,-2.2320540708,-2.4296837202,-8.2005468525
0.21,-2.2344323916,-2.4328504634,-8.182986795
0.22,-2.2360179388,-2.4312670918,-8.15567115
0.23,-2.2304685236,-2.442350693,-8.126014164
0.24,-2.2015322872,-2.4597677806,-8.1166488
0.25,-2.174181598,-2.4601636235,-8.1349893045
0.26,-2.1599116732,-2.4459132791,-8.136940422
0.27,-2.1507947768,-2.446309122,-8.115087906
0.28,-2.1492092296,-2.4720389105,-8.0764557795
0.29,-2.1614972204,-2.497768699,-8.032360524
0.30,-2.1793346264,-2.5199359014,-7.9937283975
0.31,-2.1963792588,-2.5365613032,-7.976948787
0.32,-2.215802212,-2.521519273,-7.9835825865
0.33,-2.227693816,-2.4771848682,-8.0015328675
0.34,-2.223729948,-2.4336421492,-8.024556054
0.35,-2.2094600232,-2.4138500042,-8.039384547
0.36,-2.194000938,-2.4055373033,-8.056554381
0.37,-2.1789382396,-2.3976204453,-8.0670904155
0.38,-2.1729924376,-2.4059331462,-8.0725535445
0.39,-2.1658574752,-2.4324546205,-8.090894049
0.40,-2.1547586448,-2.4597677806,-8.1185999175
0.41,-2.1428670408,-2.4803516114,-8.129135952
0.42,-2.1539658712,-2.5033104996,-8.1084541065
0.43,-2.1928117776,-2.5227068017,-8.072163321
0.44,-2.2205588536,-2.5274569165,-8.037823653
0.45,-2.225711882,-2.5298319739,-8.0226049365
0.46,-2.241567354,-2.545269847,-8.0015328675
0.47,-2.253458958,-2.5523950192,-7.98397281
0.48,-2.2538553448,-2.5318111884,-7.9788999045
0.49,-2.2483059296,-2.4965811703,-7.9812412455
0.50,-2.2681252696,-2.4668929528,-7.9804607985
0.51,-2.2927012512,-2.4593719377,-7.965242082
0.52,-2.3034036948,-2.4736222821,-7.9570473885
0.53,-2.3006289872,-2.5001437564,-7.973826999
0.54,-2.306971176,-2.5377488319,-7.9820216925
0.55,-2.2978542796,-2.5519991763,-7.9843630335
0.56,-2.273278298,-2.5282486023,-7.98397281
0.57,-2.2463239956,-2.5084564573,-7.9710954345
0.58,-2.2383962596,-2.5199359014,-7.9570473885
0.59,-2.241567354,-2.5543742337,-7.9328535315
0.60,-2.227693816,-2.5725830071,-7.9258295085
0.61,-2.1876587492,-2.5587285056,-7.953535377
0.62,-2.1591188996,-2.5314153455,-7.9859239275
0.63,-2.1555514184,-2.5108315147,-7.9999719735
0.64,-2.1559478052,-2.5029146567,-7.994899068
0.65,-2.1527767108,-2.5080606144,-7.976948787
0.66,-2.1666502488,-2.5278527594,-7.9640714115
0.67,-2.188055136,-2.5306236597,-7.9671931995
0.68,-2.1876587492,-2.5005395993,-7.988655492
0.69,-2.1654610884,-2.4724347534,-8.0132395725
0.70,-2.1500020032,-2.4684763244,-8.011288455
0.71,-2.1496056164,-2.4771848682,-8.001142644
0.72,-2.1595152864,-2.4839141975,-7.998020856
0.73,-2.1694249564,-2.4843100404,-7.989435939
0.74,-2.1963792588,-2.4910393697,-7.9648518585
0.75,-2.2241263348,-2.5128107292,-7.944170013
0.76,-2.2352251652,-2.5187483727,-7.948852695
0.77,-2.2423601276,-2.5029146567,-7.961339847
0.78,-2.2689180432,-2.477976554,-7.9640714115
0.79,-2.291115704,-2.4562051945,-7.9515842595
0.80,-2.2748638452,-2.4597677806,-7.9375362135
0.81,-2.25940476,-2.4874767836,-7.941828672
0.82,-2.255440892,-2.4949977987,-7.9804607985
0.83,-2.2288829764,-2.4692680102,-8.0428965585
0.84,-2.194000938,-2.4368088924,-8.092454943
0.85,-2.1757671452,-2.4170167474,-8.1131367885
0.86,-2.1844876548,-2.4201834906,-8.109624777
0.87,-2.1832984944,-2.4451215933,-8.0975278485
0.88,-2.1753707584,-2.4748098108,-8.103381201
0.89,-2.1745779848,-2.4981645419,-8.1209412585
0.90,-2.1749743716,-2.5219151159,-8.131477293
0.91,-2.1646683148,-2.5298319739,-8.1412328805
0.92,-2.182109334,-2.513602415,-8.151768915
0.93,-2.2031178344,-2.4989562277,-8.1591831615
0.94,-2.2130275044,-2.4985603848,-8.1607440555
0.95,-2.223729948,-2.4985603848,-8.161134279
0.96,-2.2419637408,-2.4942061129,-8.1591831615
0.97,-2.241567354,-2.4914352126,-8.164256067
0.98,-2.2487023164,-2.4910393697,-8.166597408
0.99,-2.26931443,-2.4993520706,-8.151768915
1.00,-2.277242166,-2.5262693878,-8.1271848345
1.01,-2.271296364,-2.561103563,-8.088552708
1.02,-2.2689180432,-2.5804998651,-8.0499205815
1.03,-2.2697108168,-2.5785206506,-8.0179222545
1.04,-2.2522697976,-2.5516033334,-8.0054351025
1.05,-2.2265046556,-2.521519273,-8.0054351025
1.06,-2.2050997684,-2.4981645419,-8.0023133145
1.07,-2.186073202,-2.4763931824,-8.0046546555
1.08,-2.1852804284,-2.4676846386,-7.998020856
1.09,-2.1856768152,-2.4759973395,-7.9796803515
1.10,-2.1753707584,-2.4949977987,-7.9687540935
1.11,-2.152380324,-2.5167691582,-7.969924764
1.12,-2.1289935028,-2.5223109588,-7.9788999045
1.13,-2.108777776,-2.5084564573,-7.9960697385
1.14,-2.0960933984,-2.4926227413,-8.018312478
1.15,-2.0933186908,-2.4862892549,-8.020653819
1.16,-2.0976789456,-2.4981645419,-8.008947114
1.17,-2.1123452572,-2.5238943304,-8.0179222545
1.18,-2.1392995596,-2.5306236597,-8.0467987935
1.19,-2.16030806,-2.5199359014,-8.0725535445
1.20,-2.1757671452,-2.5116232005,-8.0748948855
1.21,-2.184091268,-2.5084564573,-8.059676169
1.22,-2.1888479096,-2.5048938712,-8.0452378995
1.23,-2.1943973248,-2.505685557,-8.03079963
1.24,-2.2312612972,-2.5143941008,-7.9984110795
1.25,-2.273278298,-2.5223109588,-7.9703149875
1.26,-2.2934940248,-2.5282486023,-7.973826999
1.27,-2.2966651192,-2.5286444452,-7.980851022
1.28,-2.2974578928,-2.5223109588,-7.9718758815
1.29,-2.2895301568,-2.5120190434,-7.9664127525
1.30,-2.273278298,-2.4914352126,-7.966022529
1.31,-2.245531222,-2.4676846386,-7.9469015775
1.32,-2.22967575,-2.4538301371,-7.9250490615
1.33,-2.2447384484,-2.4474966507,-7.925439285
1.34,-2.2605939204,-2.4391839498,-7.951974483
1.35,-2.2558372788,-2.4387881069,-7.9906066095
1.36,-2.2617830808,-2.4474966507,-8.027677842
1.37,-2.2590083732,-2.4617469951,-8.0553837105
1.38,-2.233639618,-2.4831225117,-8.0889429315
1.39,-2.2106491836,-2.4965811703,-8.129135952
1.40,-2.2043069948,-2.4918310555,-8.159573385
1.41,-2.1995503532,-2.4878726265,-8.158792938
1.42,-2.1943973248,-2.4787682398,-8.1357697515
1.43,-2.192019004,-2.4823308259,-8.0905038255
1.44,-2.184091268,-2.5155816295,-8.0233853835
1.45,-2.1825057208,-2.549228276,-7.94495046
1.46,-2.1983611928,-2.5575409769,-7.89031917
1.47,-2.2102527968,-2.5698121068,-7.8766613475
1.48,-2.2090636364,-2.5880208802,-7.909049898
1.49,-2.1975684192,-2.5666453636,-7.987875045
1.50,-2.1928117776,-2.5029146567,-8.0725535445
1.51,-2.1936045512,-2.4455174362,-8.1139172355
1.52,-2.2090636364,-2.4269128199,-8.103381201
1.53,-2.2372070992,-2.4471008078,-8.0553837105
