,before,after
0,0,144482.453125
1,1,134980.359375
2,2,126927.5859375
3,3,120967.40625
4,4,116232.8984375
5,5,112968.703125
6,6,109896.390625
7,7,105281.34375
8,8,100333.1953125
9,9,99811.2109375
10,10,97325.6796875
11,11,96548.609375
12,12,96062.6015625
13,13,93287.6953125
14,14,91698.15625
15,15,91070.28125
16,16,88765.3515625
17,17,88419.34375
18,18,87011.5703125
19,19,88286.703125
20,20,84153.4921875
21,21,84535.21875
22,22,82235.265625
23,23,81547.2578125
24,24,81469.2265625
25,25,78541.0
26,26,79412.6796875
27,27,78086.0859375
28,28,77642.4140625
29,29,78439.03125
30,30,77527.453125
31,31,77047.9375
32,32,76397.6328125
33,33,74850.65625
34,34,73917.7578125
35,35,73691.34375
36,36,75048.2421875
37,37,74006.4375
38,38,72310.3203125
39,39,71425.3671875
40,40,71894.484375
41,41,71951.0859375
42,42,71264.4296875
43,43,73407.390625
44,44,79154.359375
45,45,75348.15625
46,46,80693.9765625
47,47,78609.0703125
48,48,78982.3125
49,49,78133.46875
50,50,76302.1484375
51,51,79616.0703125
52,52,79723.1484375
53,53,77122.9921875
54,54,79682.59375
55,55,78452.3984375
56,56,77401.3515625
57,57,77787.671875
58,58,77885.3359375
59,59,76764.3203125
60,60,76102.1328125
61,61,74064.71875
62,62,72016.25
63,63,77334.5625
64,64,73971.21875
65,65,73439.9375
66,66,79474.7421875
67,67,69973.21875
68,68,78328.828125
69,69,74686.359375
70,70,74937.3046875
71,71,76790.3125
72,72,82245.875
73,73,84496.2734375
74,74,74598.375
75,75,76883.3359375
76,76,73165.8046875
77,77,72368.4921875
78,78,70652.703125
79,79,72676.2421875
80,80,72914.203125
81,81,78534.3203125
82,82,80569.6328125
83,83,78948.6796875
84,84,77276.015625
85,85,78238.03125
86,86,72533.3515625
87,87,70305.0625
88,88,72091.1484375
89,89,77939.0
90,90,77331.9375
91,91,74228.984375
92,92,75236.828125
93,93,75126.0234375
94,94,75706.4921875
95,95,72427.0703125
96,96,75512.171875
97,97,74853.65625
98,98,73804.4296875
99,99,74905.984375
